Season,Decade,Team,Total Team Goals,Top Scorer,Top Scorer Goals
2024-2025,2020s,Liverpool ,84,Mohamed Salah ,29
2023-2024,2020s,Manchester City ,91,Erling Haaland ,27
2022-2023,2020s,Manchester City ,89,Erling Haaland ,36
2021-2022,2020s,Manchester City ,93,"Son Heung-min, Mohamed Salah ",23
2020-2021,2020s,Manchester City ,86,Harry Kane ,23
2019-2020,2010s,Liverpool ,99,Jamie Vardy ,23
2018-2019,2010s,Manchester City ,98,"Pierre-Emerick Aubameyang, Sadio Mané... ",22
2017-2018,2010s,Manchester City ,100,Mohamed Salah ,32
2016-2017,2010s,Chelsea ,93,Harry Kane ,29
2015-2016,2010s,Leicester City ,81,Harry Kane ,25
2014-2015,2010s,Chelsea ,87,Sergio Agüero ,26
2013-2014,2010s,Manchester City ,86,Luis Suárez ,31
2012-2013,2010s,Manchester United ,89,Robin van Persie ,26
2011-2012,2010s,Manchester City ,89,Robin van Persie ,30
2010-2011,2010s,Manchester United ,80,"Carlos Tevez, Dimitar Berbatov ",20
2009-2010,2000s,Chelsea ,86,Didier Drogba ,29
2008-2009,2000s,Manchester United ,90,Nicolas Anelka ,19
2007-2008,2000s,Manchester United ,87,Cristiano Ronaldo ,31
2006-2007,2000s,Manchester United ,89,Didier Drogba ,20
2005-2006,2000s,Chelsea ,91,Thierry Henry ,27
2004-2005,2000s,Chelsea ,95,Thierry Henry ,25
2003-2004,2000s,Arsenal ,90,Thierry Henry ,30
2002-2003,2000s,Manchester United ,83,Ruud van Nistelrooy ,25
2001-2002,2000s,Arsenal ,87,Thierry Henry ,24
2000-2001,2000s,Manchester United ,80,Jimmy Floyd Hasselbaink ,23
1999-2000,1990s,Manchester United ,91,Kevin Phillips ,30
1998-1999,1990s,Manchester United ,79,"Jimmy Floyd Hasselbaink, Michael Owen... ",18
1997-1998,1990s,Arsenal ,78,"Michael Owen, Chris Sutton... ",18
1996-1997,1990s,Manchester United ,75,Alan Shearer ,25
1995-1996,1990s,Manchester United ,82,Alan Shearer ,31
1994-1995,1990s,Blackburn Rovers ,89,Alan Shearer ,34
1993-1994,1990s,Manchester United ,92,Andy Cole ,34
1992-1993,1990s,Manchester United ,84,Teddy Sheringham ,22
